verdict,statement_originator,statement,statement_date,statement_source,id,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering
pants-fire,Donald Trump,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",2018-01-26,news,82,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Chris Kennedy,"""Zero percent of kids in Cairo are college-ready.""",2018-02-09,news,145,13,0.06280193236714976,0.15371102327624067,5.434196756295302e-05,0.10511494008454644,0.8846153846153846
false,Joel Giambra,"""I'm the only candidate on this stage who has actually cut taxes.""",2018-02-10,speech,147,10,0.04830917874396135,0.13842981043591265,4.690211528539938e-06,0.016614006009810615,0.9777777777777777
mostly-false,Bruce Rauner,"Says he has a plan for ""$1 billion in tax relief for Illinois.""",2018-02-15,campaign,161,9,0.043478260869565216,0.14612035546013,0.0025132598327937475,0.013242641118567867,0.5833333333333334
mostly-true,Tammy Baldwin,Says 97 percent of gun owners support universal background checks.,2018-02-22,news,187,9,0.043478260869565216,0.14006803304462168,2.5148936634543827e-05,0.07109969697453995,0.8888888888888888
true,Ronald Brownstein,"""They found 60 votes in the Senate in 2006 and 2013"" for immigration legislation, and ""each time the House Republican majority refused to take it up.""",2018-01-23,news,71,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Larry Pittman,"""So many of these shooters turn out to be communist Democrats.""",2018-02-15,social_media,164,17,0.08212560386473429,0.17405512929809602,0.001528707458223596,0.09087293913087986,0.5220588235294118
pants-fire,CSC Mediagroup.USA,"Democrats ""booed families of children murdered by MS13.""",2018-01-30,news,103,12,0.05797101449275362,0.15573353674040172,7.69253688718841e-05,0.09538324146260556,0.7878787878787878
false,Beto O'Rourke,"Says ""precisely zero terrorists, terrorist groups or terror plots have ever been connected with the U.S.-Mexico border to do harm to people within the United States.""",2018-01-03,speech,9,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Matt Caldwell,"""A law enforcement officer is more likely to commit a crime than a CWP (concealed weapons permit) holder.""",2018-02-21,news,182,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,George P. Bush,"Says he’s a ""retired U.S. Navy officer.""",2018-02-14,other,158,14,0.06763285024154589,0.1727846539017596,0.0022176508057773644,0.07869322048055244,0.5274725274725275
pants-fire,Facebook posts,"""The Clinton Foundation folded.""",2018-02-04,social_media,126,10,0.04830917874396135,0.142599383039404,4.954477887914082e-05,0.07585023552066887,0.8888888888888888
mostly-true,Pricey Harrison,"""The US has approximately 5% of the world's population and 42% of civilian gun ownership.""",2018-02-15,social_media,163,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,US Political News,"""Haiti official getting ready to testify against Clinton Foundation corruption next week found dead with gunshot to the head.""",2018-01-17,news,50,1,0.004830917874396135,0.0064412238325281795,0.0,3.390520209704698e-17,0.0
true,Donald Trump,"The Dow Jones Industrial Average ""jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history.""",2018-01-05,social_media,17,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"""A single immigrant can bring in unlimited numbers of distant relatives.""",2018-01-31,speech,114,17,0.08212560386473429,0.1678829615924898,0.00019671364473392572,0.14304115437186193,0.7941176470588235
mostly-true,Edward Cox,"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",2018-01-09,radio,23,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Americanproud.info,"Says that singer Dolly Parton said, ""Trump in one year is already better than 16 years of Bush, Obama put together.""",2018-01-22,news,68,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Jerry Brown,"California’s prisons budget in 1970 ""was about 3 percent of the general fund. Now, it’s 8.9 percent, about $12 billion.""",2018-01-25,speech,77,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Donald Trump,"""Small business confidence is at an all-time high.""",2018-01-30,speech,100,27,0.13043478260869565,0.18638974476016587,0.001249596283472766,0.2099113966026962,0.6324786324786325
mostly-true,Donald Trump,"Says one year later, ""the coalition to defeat ISIS has liberated very close to 100 percent of the territory just recently held by these killers in Iraq and Syria.""",2018-01-30,speech,112,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Heartland Institute,"Work requirements ""have been proven to help impoverished families move from dependency to self-sufficiency.""",2018-01-22,news,65,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Donald Trump,"""We enacted the biggest tax cuts and reforms in American history.""",2018-01-30,speech,109,18,0.08695652173913043,0.1727846539017596,0.00041054694027178103,0.14252447831988935,0.6928104575163399
half-true,Randy Bryce,"Under ""his own legislation,"" Donald Trump's ""own family would not have been allowed into the country.""",2018-01-10,campaign,27,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Ann Coulter,"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",2018-01-30,social_media,111,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Bloggers,"""First NFL team declares bankruptcy over kneeling thugs.""",2018-02-02,news,121,30,0.14492753623188406,0.18937198067632852,0.004041620962425079,0.2064680045081458,0.503448275862069
mostly-false,Donald Trump,"The new tax law is ""kicking the American economy into high gear with $5.5 trillion in tax cuts.""",2018-01-02,email,0,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Jim Renacci,"In 2005 or 2006 U.S. Sen. Chuck Schumer ""voted for the wall.""",2018-01-24,news,75,2,0.00966183574879227,0.00966183574879227,0.0,8.679731736844026e-15,1.0
true,Ann Teich,Says Stephen F. Austin and James Bowie promoted slavery.,2018-02-26,meeting,195,20,0.0966183574879227,0.1727846539017596,0.0006388979366400778,0.15705289211964663,0.7210526315789474
mostly-true,Tom Cole,"""Probably one out of every two households in Oklahoma has a gun.""",2018-02-28,news,204,26,0.12560386473429952,0.20406463434949193,0.004698796489841892,0.17873335120555908,0.5138461538461538
pants-fire,Bloggers,Says a 79-year-old woman with AK-47 rescued two LAPD officers from a street gang.,2018-02-20,blog,177,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"""Instead of two for one, we have cut 22 burdensome regulations for everyone new rule.""",2018-01-26,speech,79,4,0.01932367149758454,0.025764895330112718,0.0008207870174944889,5.535719988774191e-14,0.0
pants-fire,WorldNetDaily,"""California To Register Illegal Aliens To Vote – Automatically.""",2018-01-21,news,62,10,0.04830917874396135,0.13924410343847685,6.293034272904987e-05,0.015412908045648207,0.8888888888888888
mostly-false,Dana Loesch,"In comparing mass shootings, ""France had a higher casualty rate in one year than the entire two administrations of Barack Obama.""",2018-02-25,news,194,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Perry Thurston,"""Florida is one of only 10 states that totally prohibit a (firearm) registry.""",2018-02-26,meeting,196,12,0.05797101449275362,0.1779811848461734,0.011386643177100888,0.03082259091158703,0.42424242424242425
pants-fire,Bloggers,"""All Citizens Who Want to Receive Gvt Benefits Must Agree to Be Microchipped in the Near Future""",2018-01-12,blog,34,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Ohio Democratic Party,"Says Mike DeWine ""interfered with and stifled"" a sexual harassment investigation and then ""eliminated the office that investigated harassment claims within the AG’s office.""",2018-01-04,news,14,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Jeanne Ives,"Says President Barack Obama advocated ""fathers in the home"" as the solution to gun violence.",2018-01-15,campaign,42,3,0.014492753623188404,0.021519543258673692,0.0,1.099441340557107e-11,1.0
mostly-true,E. Gordon Gee,"West Virginia University’s incoming freshman class has the ""highest-ever GPA""",2018-02-12,statement,153,12,0.05797101449275362,0.15676488466583485,0.000803306192629878,0.026522810991930035,0.7424242424242424
mostly-true,Tim Ryan,"""Seventy to 80 percent of NRA members support a universal background check.""",2018-02-20,news,176,8,0.03864734299516908,0.1344971453667106,0.0005255692952022957,0.010959626999334336,0.5714285714285714
false,Bruce Rauner,"""No private business was conducted on public property. That issue is a contract dispute.""",2018-01-29,speech,90,7,0.033816425120772944,0.12393454232744013,6.0341955656434335e-05,0.003247050334362142,0.8571428571428571
half-true,Bruce Rauner,"""The Legionella bacteria is in most water systems in Illinois.""",2018-01-03,news,4,18,0.08695652173913043,0.17405512929809602,0.00017204340617792962,0.15028851387297126,0.7973856209150327
pants-fire,Bloggers,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",2018-02-24,news,191,2,0.00966183574879227,0.018208844295800816,0.0,6.5535805786260916e-12,1.0
false,Mark Harris,"Rep. Pittenger is ""constantly rated as one of the most liberal Republicans in Congress.""",2018-02-09,statement,144,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Donald Trump,"Says ""22 to 24 people"" came into the United States due to family connection with suspect in the October 2017 New York City terror attack.",2018-01-09,meeting,24,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,The Patriot Report,"""82-year-old who killed a Muslim in self-defense gets the death penalty.""",2018-01-15,news,41,2,0.00966183574879227,0.018186984938903097,0.0003283148069977956,2.341373791356025e-14,0.0
mostly-false,John Calipari,"""We have the highest graduation rate of basketball players in the history of the NCAA. We have the highest graduation rate of African-American basketball players in the history of the NCAA in basketball.""",2018-01-20,news,61,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Edward Cox,"About New York state: ""We have the highest debt per capita.""",2018-02-10,speech,148,13,0.06280193236714976,0.1655349481436438,0.0004950639032394161,0.07958065250497066,0.6538461538461539
false,Travis Allen,"""Seventy four percent of Californians are absolutely against sanctuary state"" policies.",2018-01-02,news,3,10,0.04830917874396135,0.15994255124689907,0.0009256052735851788,0.03611274189154405,0.6888888888888889
false,Republican News,"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",2018-01-13,blog,37,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"""We are now, very proudly, an exporter of energy to the world.""",2018-01-30,speech,108,6,0.02898550724637681,0.1232890499194847,0.0,0.003158401860260817,1.0
half-true,Paul Ryan,"We ""have laws on the books designed to prevent people with mental illnesses from getting firearms.""",2018-02-15,news,165,3,0.014492753623188404,0.020611916264090174,0.000414302018354361,3.7099653578489044e-14,0.0
false,Travis Allen,"""Californians are overwhelmingly against this concept of the illegal sanctuary state.""",2018-02-01,radio,115,20,0.0966183574879227,0.1878690284487386,0.0037929902277085625,0.10910838677418064,0.41578947368421054
true,Bill de Blasio,"""The graduation rate in New York City has increased by 50 percent in 13 years""",2018-01-03,news,10,14,0.06763285024154589,0.16670068721507791,0.0015572416117872717,0.03824907438041772,0.5934065934065934
half-true,Bernie Sanders,"""The Koch brothers have given"" Paul Ryan ""$500,000 in campaign contributions.""",2018-02-24,campaign,192,4,0.01932367149758454,0.02367149758454106,7.035317292809905e-05,1.2505540133138973e-11,0.6666666666666666
mostly-true,Joe Kennedy,"""Top CEOs (are) making 300 times the average worker.""",2018-01-30,speech,97,9,0.043478260869565216,0.15371102327624067,7.67224899698189e-05,0.04723980334515111,0.8333333333333334
mostly-true,Donald Trump,"""Since we passed tax cuts, over 3 million workers have gotten tax cut bonuses — many of them thousands and thousands of dollars.""",2018-01-30,speech,106,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Tucker Carlson,"""There are more immigrants in our country right now than any other time.""",2018-02-08,social_media,142,17,0.08212560386473429,0.1779811848461734,0.0021848109383045874,0.0869588747581706,0.5
half-true,Democratic National Committee,"The Republicans and President Donald Trump ""passed a tax bill that gave 80 percent of its benefits to the top 1 percent.""",2018-01-16,blog,44,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Conservative Daily Post,"""Trump declares globalist Soros as ‘national security threat’ using Obama’s 2014 executive order.""",2018-01-30,news,102,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Jon Husted,"""When we say ‘one vote matters,’ it’s not just a saying – it has proven true 141 times in #Ohio over the last five years.""",2018-01-03,social_media,5,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Bloggers,"""ALERT: Massive Easter Egg Recall Leaves MILLIONS Of Children In Danger- THROW THEM AWAY- They WILL Kill Your Kids.""",2018-02-08,blog,140,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,PuppetStringNews.com,"""Russian source behind fake Trump dossier killed in Russian plane crash, Rosatom CFO also dead""",2018-02-11,news,152,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",2018-02-20,social_media,180,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Everytown for Gun Safety,"Says NRA head Wayne LaPierre said, ""We believe in absolutely gun-free, zero-tolerance, totally safe schools. That means no guns in America’s schools. Period.""",2018-02-22,social_media,186,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Rand Paul,"""George W. Bush doubled the debt from $5 trillion to $10 trillion. President Obama doubled the debt from $10 trillion to $20 trillion. Now we're on course to exceed $30 trillion in the next seven years or so.""",2018-02-08,speech,143,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Bruce Rauner,"""Who’s really behind Jeanne Ives’ campaign for governor? Mike Madigan’s corrupt insider machine. They’ve bankrolled her campaign with thousands in shady labor union cash, turning Ives into another Madigan lackey.""",2018-02-13,campaign,155,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Gwen Graham,"""In Congress, @RonDeSantisFL was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling.""",2018-01-04,social_media,16,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Scott Walker,"""We invested"" in our transportation system ""$24 billion over eight years. That’s $3 billion more than what former Governor Jim Doyle spent on transportation over the same period of time.""",2018-01-24,speech,73,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Stacey Abrams,"Says under her leadership, ""Democrats fought to ... make sure the (2011 HOPE) bill ... prevented the use of ACT/SAT testing standards.""",2018-01-17,statement,49,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"""The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working.""",2018-02-05,social_media,129,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Delaine Eastin,"California is 41st in the nation in per pupil K-12 spending, but ""No. 1 in per prisoner"" spending.",2018-01-13,speech,38,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Donald Trump,"Many gang members have taken advantage of ""glaring loopholes and our laws to enter the country as illegal, unaccompanied, alien minors.""",2018-01-30,speech,96,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Florida Democratic Party,"Says Gov. Rick Scott ""ended $20 million in funding for mental health care despite Florida already ranking at the bottom.""",2018-02-19,news,174,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Glenn Grothman,"""The past president (Barack Obama) brought Al Sharpton into the White House something like 80 times.""",2018-01-15,meeting,40,2,0.00966183574879227,0.00966183574879227,4.690211528539937e-05,4.794919664063526e-17,0.0
true,Nancy Rotering,"""It’s now constitutional to ban [assault weapons] in Illinois. Yet, the Illinois General Assembly has failed to allow other cities to have that opportunity.""",2018-02-11,news,149,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Reaganwasright,"""Soros, Obama and the Dems Ordered the Shutdown to Stage a Coup""",2018-01-22,blog,67,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Claudia Tenney,"""So many of these people that commit the mass murders end up being Democrats.""",2018-02-21,radio,183,12,0.05797101449275362,0.1507738699652297,0.000663263572321301,0.024440510766012016,0.7121212121212122
true,Greg Abbott,Says Texas ranks among the nation’s top five states for its high school graduation rate.,2018-02-19,meeting,173,6,0.02898550724637681,0.029589371980676328,0.0002501446148554633,1.5916576264604515e-11,0.4666666666666667
pants-fire,Meddaily,"The flu shot is ""designed to spread cancer.""",2018-02-28,news,207,6,0.02898550724637681,0.1352657004830918,0.0,0.050690173488379085,1.0
false,Ron DeSantis,"In one year, the United Nations ""did 24 resolutions and 20 of them were against Israel.""",2018-01-11,other,32,2,0.00966183574879227,0.017176596886741814,7.817019214233227e-05,3.235537458437225e-14,0.0
false,Phil Ting,"""Trump’s tax reform plan was nothing more than a middle-class tax increase.""",2018-01-21,news,63,2,0.00966183574879227,0.019726247987117553,0.0,7.209889582955551e-12,1.0
mostly-true,Giffords,"""Gov. Rick Scott made it illegal for a doctor to ask a patient if they owned a gun, even a mental health professional. This law was so dangerous that a court had to strike it down.""",2018-02-20,advertisement,175,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Bloggers,"""FBI RAIDS OBAMA – Find Massive Secret That Was Hidden For YEARS.""",2018-02-07,blog,139,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Bruce Rauner,"""I have introduced balanced budgets every year that I’ve been governor.""",2018-01-29,speech,92,15,0.07246376811594203,0.16325170747959356,0.0021368380321764185,0.037271096011555,0.5904761904761905
false,Dennis Kucinich,"The default rate for college students has grown from 40 percent 10 years ago to about 50 percent today, and ""perhaps as many as 800,000 young Ohioans are facing default on their student loans.""",2018-01-29,campaign,91,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Patrick Morrisey,"Says Evan Jenkins was Sen. Joe Manchin’s ""spokesperson. It’s true!""",2018-01-18,social_media,57,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Markwayne Mullin,"Under President Barack Obama: 4 million jobs lost, unemployment rose from 7.8% to 9.9%, the S&P 500 was 1,115.1 and the GDP went down 2.8%.",2018-01-30,social_media,104,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Corey Lewandowski,"""Fifty seats have already changed hands from the Republicans to the Democrats since Donald Trump was elected.""",2018-02-11,speech,150,1,0.004830917874396135,0.014053579270970574,0.0,1.3590547524669838e-14,0.0
true,Chris Kennedy,"""There was no requirement to put in affordable housing.""",2018-01-16,news,43,33,0.15942028985507245,0.20583910943079187,0.004681214241994613,0.23522680392114653,0.5151515151515151
false,Tim Burns,"Says he is ""one of America's leading consumer lawyers.""",2018-02-06,advertisement,132,23,0.1111111111111111,0.18937198067632852,0.003973844417729228,0.147195920346669,0.49407114624505927
half-true,Kevin Nicholson,"""There are more guns in this country than there are people.""",2018-02-18,news,170,19,0.09178743961352656,0.1766529670488139,0.0004000944740911817,0.1469321238134716,0.695906432748538
false,Breitbart,"""Fall River, Massachusetts was not 'built by immigrants.' """,2018-01-30,news,95,31,0.1497584541062802,0.20583910943079187,0.004934198240304794,0.22282188080836854,0.5225806451612903
pants-fire,The Patriot Report,"""Mueller will be forced to resign over Pelosi affair.""",2018-01-18,news,56,8,0.03864734299516908,0.1488773432990004,0.0,0.0424379216810847,1.0
true,USA Trainnews,"""Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union.""",2018-01-30,news,107,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Pamela Geller,"In Parkland, Fla. ""the mass murderer was immersed in Islamic and leftwing hate.""",2018-02-14,news,160,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Breitbart,"""Food stamp enrollment drops by four million in one month.""",2018-02-07,news,137,26,0.12560386473429952,0.1793295271556141,0.00171306820986428,0.18779788608775314,0.5692307692307692
mostly-true,Martha Laning,"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",2018-01-05,news,18,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Bloggers,"Starbucks executive ""believes white men are the root of all evil.""",2018-02-17,social_media,167,8,0.03864734299516908,0.14433839990573819,1.2624779903889453e-05,0.026039009945091878,0.9642857142857143
true,Marco Rubio,"""Under N.Y. State ‘Assault Weapon’ ban 1 simple cosmetic change pictured here is difference between legal & banned""",2018-02-22,social_media,188,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Cory Booker,"""In American history since 9/11, we've had 85 major attacks in our country, 73 percent of them have been by white nationalist hate groups.""",2018-01-16,news,47,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",2018-01-09,news,22,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Rebecca Dallet,"Says that as a judge, she has ""presided over more than 10,000 cases.""",2018-01-19,news,60,3,0.014492753623188404,0.020611916264090174,0.0002814126917123962,5.126539373278604e-14,0.0
half-true,Florida Education Association,"""Richard Corcoran has a plan to divert even more of our tax dollars to unaccountable private schools.""",2018-02-05,social_media,128,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Jason Isaac,"Says abortion is ""the leading cause of death for black Americans and kills as many as 1,000 black children every day.""",2018-02-01,other,119,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Scott Walker,"Says Paul Soglin took Madison backward -- ""businesses have left and murders have gone up.""",2018-01-11,social_media,33,1,0.004830917874396135,0.0064412238325281795,0.0,3.390520209704698e-17,0.0
pants-fire,usdeplorablesnews.com,"Says Michelle Obama said Florida shooting ""is clearly our president’s fault.""",2018-02-15,news,162,5,0.024154589371980676,0.1272661160459197,2.6131178516151078e-05,0.007213287683107164,0.7
false,Bernie Sanders,"""Forty percent of the guns in this country are sold without any background checks.""",2018-02-18,statement,169,13,0.06280193236714976,0.14794685990338163,0.0021595721607947944,0.017865384110091642,0.6923076923076923
true,Jeff Flake,"Says Donald Trump's use of the term ""fake news"" to undermine journalism ""seems (to have) inspired dictators and authoritarians.""",2018-01-17,other,51,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Donald Trump,"""Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades.""",2018-01-26,speech,83,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Leah Vukmir,"Says Sen. Tammy Baldwin ""claims to support a 'Buy America' philosophy, but her actions speak louder than her empty words.""",2018-01-25,news,76,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Mahlon Mitchell,"""When @ScottWalker told firefighters we didn’t need to worry about Act 10, we said hell no, we stand with working Wisconsinites everywhere.""",2018-01-17,social_media,53,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Dan Patrick,"""Last year, I proposed directing more of the education budget to teacher salaries, a move that would have resulted in an average $10,000 raise for teachers.""",2018-01-16,campaign,45,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Scott Milder,"""In the 1980s, the state funded 68% of school expenses, and now the state’s share is 38%.""",2018-02-06,campaign,133,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Bloggers,"""Twitter caught leaking Donald Trump’s private messages in undercover sting.""",2018-01-11,blog,28,12,0.05797101449275362,0.16438539989264628,0.0003795503942687422,0.07871891196018721,0.6515151515151515
pants-fire,Bloggers,"""Just in: 45 states just banned Sharia law""",2018-02-06,news,131,12,0.05797101449275362,0.1488773432990004,5.421999582686229e-05,0.09438564280199972,0.8484848484848485
mostly-true,John Faso,"""The vast majority of crime that is gun related is committed by people who illegally are possessing that firearm.""",2018-02-27,news,201,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Mary Taylor,"Says Mike DeWine ""flip-flopped on the gun issue and has earned an F from the NRA.""",2018-01-29,speech,89,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Southwest Farm Press,"""Texas is home to more feral pigs than any other state — an estimated 50 percent to 75 percent of all feral swine in the nation.""",2018-01-22,news,66,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"""45.6 million people watched (the State of the Union), the highest number in history. @FoxNews beat every other Network, for the first time ever, with 11.7 million people tuning in.""",2018-02-01,social_media,116,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Eco News,"""NFL lawyer, who claimed Super Bowl is ‘rigged’, found dead.""",2018-02-01,news,118,4,0.01932367149758454,0.11955301810374275,0.0,0.0019253626116358712,1.0
mostly-false,Philip Levine,"""Here in Florida, despite 14 school shootings in eight years, we still have some of the weakest gun laws in the nation.""",2018-02-20,advertisement,178,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Donald Trump,"The Senate seat won in a special election by a Democrat had been ""held for more than thirty years by Republicans.""",2018-01-03,statement,6,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Brian Kavanagh,"""New York has the third lowest rate of gun-caused death in America.""",2018-01-17,news,54,14,0.06763285024154589,0.1588691113056447,0.001563231430315921,0.037129485985466504,0.6043956043956044
mostly-true,Keisha Lance Bottoms,"""Atlanta is on its strongest financial footing in 40 years.""",2018-01-02,speech,2,30,0.14492753623188406,0.21519543258673693,0.008210401471226902,0.21997720142146363,0.5563218390804597
mostly-false,Donald Trump,"In a government shutdown, ""what they are really doing is shutting down our military.""",2018-01-12,social_media,36,6,0.02898550724637681,0.029589371980676328,0.0003673999030689617,1.5351875886263093e-11,0.4
pants-fire,Dan Patrick,"Says ""566,000 crimes"" were ""made in Texas by criminal aliens in the last 6 years.""",2018-01-04,social_media,11,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
